movie_id,actor_id,characters
tt11100724,nm4707750,Trevor
tt11100856,nm0000337,Susan Whitaker
tt11100856,nm0915458,Nick Evans
tt11100856,nm0001287,Tamara Taylor
tt11100856,nm3230806,Melanie
tt11102242,nm1284020,Nimfa Dimaano
tt11102242,nm2049965,Iñigo Villanueva
tt11102242,nm1107053,Roger Europeo
tt11102242,nm1493532,Jerry
tt11102354,nm1171171,Padre Antonio Claret
tt11102354,nm2080280,Azorin
tt11102354,nm9224613,Reina Isabel II
tt11102354,nm1831573,Julia (Esposa Azorín)
tt11102688,nm1620124,JD (Jacob Deon)
tt11102688,nm9533935,Tom Anderson
tt11106608,nm9790747,Cassie
tt11106608,nm7686299,Jenna
tt11106608,nm10917381,Jezebel
tt11107090,nm8084348,Jason Wicks
tt11107090,nm11668112,Sarah Smith
tt11107090,nm11668113,Hulo Algarz
tt11107090,nm11668111,Trisian Smith
tt11107978,nm1560351,Edward
tt11107978,nm0404722,Brightheart
tt11107978,nm9334009,King Cyrus|Albert
tt11107978,nm6471048,Twigg
tt11111232,nm2622170,Marco
tt11111232,nm11052456,Valentina
tt11111232,nm0833488,Márcia
tt11111232,nm2363124,Renato
tt11111232,nm11053581,Júlio
tt11111232,nm11749304,Lindalva
tt11111286,nm0513598,Seymour Barr|Gordon St. Pierre
tt11111286,nm0462712,Self
tt11111286,nm1589316,Maisey
tt11111286,nm0000893,John Lehman
tt11112338,nm8657330,Feroz Sahib
tt11112338,nm6229968,Azad Sound Recordist in Tele Cinema
tt11112338,nm5852449,Siraj
tt11112338,nm7837226,Thoufeeq
tt11112526,nm6442009,Indira Gupta a.k.a 'Indoo'
tt11112526,nm1249077,Samar Khan
tt11112526,nm8647738,Sonal Makhija
tt11114708,nm6263559,Jenny
tt11114708,nm0403937,Paul
tt11114708,nm3573350,Erik
tt11114708,nm3061574,Lauren
tt11114992,nm4636683,Bruno
tt11114992,nm1082876,Dusa
tt11114992,nm0136036,Dare
tt11114992,nm1009594,Nurse
tt11115834,nm8449937,Paul
tt11115834,nm8190501,Mamo
tt11115834,nm3295463,Rich-E
tt11115834,nm8841751,Alina
tt11115876,nm1184573,Will
tt11115876,nm9684660,Raphael
tt11115876,nm11054773,Layla
tt11116656,nm0765823,Uchida
tt11116656,nm3835968,Sekiyaka
tt11116656,nm8529641,Maki Kawai (young)
tt11116656,nm1489763,Nanami
tt11116656,nm2399634,Kyoko Sawada
tt11116656,nm0757309,Asako Yoshimori
tt11116656,nm1482259,Chiaki Takaharu
tt11118628,nm11054559,Maddie Landsing
tt11118628,nm11055413,Amber
tt11118628,nm11055414,John
tt11118628,nm10382070,Julianne
tt11118628,nm11055415,Police Officer #1
tt11118628,nm11055416,Police Officer #2
tt11118628,nm9551530,Young Prostitute
tt11118628,nm6888475,News Reporter
tt11120670,nm5227404,Fazli
tt11120670,nm3896108,Morteza
tt11120670,nm2776012,Khanom Jan
tt11120670,nm1980596,Fatemeh
tt11120888,nm10747292,Sampson
tt11120888,nm11056334,Manz
tt11120888,nm11056329,Jinks
tt11120888,nm11056330,Ben|Elliot
tt11120888,nm11056331,Wanda
tt11120888,nm11056332,George|Karen
tt11121868,nm12238746,Talia's Mother
tt11122430,nm5414489,Father
tt11122430,nm5412601,Hamin
tt11122430,nm11057100,Commander
tt11122430,nm11057094,Hamin
tt11123132,nm5719950,Vangelis
tt11123132,nm3316749,Petros
tt11123132,nm2969624,Katerina
tt11123132,nm6776380,Dimitri
tt11123278,nm1523587,Karmen
tt11123278,nm7271801,Nestor|Aitor
tt11123278,nm2304398,Kortazar
tt11123278,nm0379882,Estanis
tt11123316,nm0192173,Ánchel
tt11123316,nm10571888,Niño atrevido
tt11123316,nm2674039,Betiza
tt11123316,nm11057525,Armugán
tt11123316,nm0697583,Octavia
tt11123392,nm3899250,Nora
tt11123392,nm0022765,Aitite Nicolás
tt11123392,nm0054381,Aita
tt11123392,nm0046162,Ama
tt11591252,nm5995654,Astronomy Teacher
tt11591252,nm11441625,The Doctor
tt11591252,nm5407594,Riya (Sam's Mum)
tt11591252,nm11207861,Sam
tt11591354,nm8298560,Professora de Dança
tt11591354,nm0407235,Cartomante
tt11591354,nm3080507,Projecionista
tt11591354,nm2103090,Neyla|Traficante da Boca
tt11591354,nm8329667,Rainha de bateria
tt11591800,nm13028400,Violet
tt11591800,nm13028401,Ceasar
tt11591800,nm13028402,Daniel
tt11591800,nm13028395,Paris
tt11591800,nm13028394,Sofia
tt11594104,nm11280675,Elly
tt11594104,nm2144999,Aini
tt11594104,nm11267292,Alya
tt11594104,nm1126474,Abah
tt11594104,nm9806259,Luk
tt11594696,nm11267384,Chris
tt11594696,nm11267380,Misty
tt11594696,nm11267387,Sister Ruth
tt11594696,nm11267383,Shantelle
tt11595680,nm10379175,Mineta-chan
tt11595680,nm10273240,Nina-kun
tt11595680,nm11170195,Matsuda
tt11595680,nm3607741,Nakamori
tt11595680,nm9755476,Manabe
tt11595680,nm5140520,Mita
tt11595680,nm11268187,Cute Girl
tt11595680,nm7927064,Minamino
tt11595702,nm10170206,Asuma Mutsumi
tt11595702,nm9005902,Yusuke Igarashi
tt11595702,nm6163148,Kae Serinuma
tt11595702,nm6891241,Kae Serinuma
tt11596508,nm11286144,Eric
tt11596508,nm11285815,Shushane
tt11596782,nm11048631,Kevin
tt11596782,nm3769091,Bhushan
tt11597086,nm0023365,Segretario Generale
tt11597086,nm0145725,Pio La Torre
tt11597086,nm7102336,Bernardo Mattarella
tt11597086,nm1438370,Piersanti Mattarella
tt11598734,nm3859710,Narrator
tt11598734,nm5700607,Kara
tt11598734,nm0387417,Mark
tt11598734,nm8099914,Ken
tt11598734,nm12041395,Ben Hath
tt11598734,nm11985870,Custodian Paul
tt11598734,nm10724553,Amber
tt11599082,nm11269612,Via Mori
tt11599082,nm11269611,Axel Mori
tt11599272,nm15069738,Zhan Shi
tt11599280,nm14898293,(Juvenile)
tt11599326,nm0950544,Ambassador He
tt11599326,nm1785004,Meng Yu
tt11599326,nm7010132,Xiao Jian
tt11599326,nm0874676,Mo Tai
tt11599326,nm11280211,Cheng Yan
tt11599326,nm6840610,Su Na
tt11599326,nm3240029,Director Wang
tt11599326,nm0498429,Su Donghe
tt11599966,nm11396343,Rahul
tt11599966,nm2414309,Kaya
tt11599966,nm10375524,Ishita
tt11599966,nm11269671,Uddeshya
tt11600320,nm5528098,Jayne
tt11600320,nm7199447,Ayden
tt11600320,nm3794219,Dr. Herman
tt11600320,nm0300939,Carol
tt11600948,nm2215609,Irene
tt11600948,nm0012398,Kizito
tt11600948,nm3906542,La Porsche
tt11600948,nm0130438,Sabrina
tt11600948,nm3673695,Sybil
tt11600948,nm8413691,Marcus
tt11602310,nm11270610,10U Player
tt11602310,nm11270590,10U Player
tt11602310,nm11270595,10U Player
tt11602310,nm11270580,WR Coach
tt11602310,nm11270588,10U Player
tt11602310,nm11270594,10U Player
tt11602310,nm11270604,10U Player
tt11602310,nm11270601,10U Player
tt11602310,nm11270618,10U Player
tt11602548,nm2371674,Malaya
tt11602548,nm2174257,Santiago
tt11602548,nm0023266,Mira
tt11602548,nm0784074,Rolan
tt11602560,nm0643590,Mikey
tt11602560,nm3531880,Kim
tt11602560,nm0202516,Rudy
tt11602560,nm3851363,Warren
tt11602648,nm0345798,Mohamed
tt11604772,nm5651291,Larissa
tt11604772,nm11271925,Jon
tt11604772,nm11271926,Ole
tt11604772,nm11271928,Amalia
tt11607690,nm4193636,A.J.
tt11607690,nm5954487,Mysterious Man
tt11607690,nm4486693,Gurj
tt11607690,nm11275053,Boy
tt11608190,nm11272648,Narrator
tt11608490,nm11273134,Thadius Miles
tt11608490,nm11273135,Diddley Jones
